e_v_@;4940214;6634
e_v_a;4946848;5280
gh_@;4952128;10840
gh_a;4962968;5837
gh_ai;4968805;9121
gh_e;4977926;12913
gh_i;4990839;13111
gh_u;5003950;8399
g_@;5012349;5008
g_a;5017357;6633
g_e;5023990;8641
g_i;5032631;10559
g_o;5043190;8043
g_ou;5051233;9232
g_u;5060465;6973
h@;5067438;27904
hu;5095342;7229
h_@;5102571;5584
h_a;5108155;5079
h_ai;5113234;6281
h_e;5119515;5857
h_i;5125372;9787
h_o;5135159;9897
i_bh_@;5145056;7341
i_b_a;5152397;6066
i_c;5158463;10745
i_dh_y;5169208;8623
i_dj_e;5177831;8265
i_d_i;5186096;10324
i_d~h_e;5196420;9520
i_g_i;5205940;6166
i_g_n_e;5212106;12275
i_h_i;5224381;6831
i_k;5231212;2883
i_ke;5234095;17381
i_kh;5251476;14351
i_ki;5265827;18548
i_k_a;5284375;7439
i_k_sh_a;5291814;9895
i_lo;5301709;12672
i_m_@;5314381;7845
i_m_i;5322226;6337
i_n;5328563;9829
i_ne;5338392;19770
i_ni;5358162;16902
i_n_g;5375064;10453
i_n~i;5385517;17043
i_pi;5402560;17938
i_p_i;5420498;8107
i_r;5428605;14858
i_r_sh_@;5443463;14348
i_sh;5457811;9495
i_shu;5467306;12861
i_sh_@;5480167;10573
i_sh_a;5490740;8278
i_sh_t~h@;5499018;20605
i_si;5519623;21253
i_s_o;5540876;9919
i_t;5550795;13044
i_t@;5563839;13382
i_thi;5577221;20848
i_ti;5598069;18306
i_ve;5616375;20736
i_v_i;5637111;6816
i_x_i;5643927;11744
i_y@;5655671;23408
i_yo;5679079;5609
ke;5684688;16481
kh_@;5701169;9392
kh_a;5710561;3976
kh_ai;5714537;9346
kh_e;5723883;6913
kh_i;5730796;8700
kh_u;5739496;4590
k_@;5744086;4744
k_a;5748830;1971
k_ai;5750801;6310
k_e;5757111;3184
k_i;5760295;4441
k_o;5764736;7435
k_ou;5772171;4777
k_y@;5776948;20928
k_y_@;5797876;8866
l_@;5806742;9800
l_a;5816542;11245
l_ai;5827787;7795
l_e;5835582;7704
l_i;5843286;7911
l_o;5851197;10129
